report_date,VA
2020-03-15,85.0
2020-03-22,587.0
2020-03-29,1668.0
2020-04-05,2670.0
2020-04-12,2976.0
2020-04-19,4313.0
2020-04-26,5365.0
2020-05-03,5465.0
2020-05-10,6487.0
2020-05-17,6066.0
2020-05-24,7862.0
2020-05-31,5786.0
2020-06-07,4472.0
2020-06-14,3574.0
2020-06-21,3804.0
2020-06-28,3862.0
2020-07-05,4673.0
2020-07-12,6591.0
2020-07-19,7236.0
2020-07-26,7192.0
2020-08-02,8388.0
2020-08-09,6561.0
2020-08-16,6322.0
2020-08-23,6737.0
2020-08-30,6918.0
2020-09-06,7213.0
2020-09-13,6715.0
2020-09-20,5753.0
2020-09-27,5395.0
2020-10-04,7102.0
2020-10-11,7333.0
2020-10-18,7134.0
2020-10-25,8818.0
2020-11-01,9683.0
2020-11-08,9926.0
2020-11-15,14880.0
2020-11-22,17938.0
2020-11-29,17556.0
2020-12-06,27442.0
2020-12-13,24357.0
2020-12-20,26605.0
2020-12-27,29178.0
2021-01-03,34960.0
2021-01-10,35676.0
2021-01-17,39264.0
2021-01-24,33566.0
2021-01-31,23955.0
2021-02-07,21248.0
2021-02-14,14388.0
2021-02-21,12502.0
2021-02-28,10223.0
2021-03-07,9025.0
2021-03-14,10183.0
2021-03-21,10229.0
2021-03-28,9907.0
2021-04-04,10444.0
2021-04-11,10503.0
2021-04-18,8498.0
2021-04-25,7227.0
2021-05-02,5558.0
2021-05-09,3793.0
2021-05-16,2889.0
2021-05-23,2372.0
2021-05-30,1421.0
2021-06-06,1085.0
2021-06-13,924.0
2021-06-20,1085.0
2021-06-27,1224.0
2021-07-04,1529.0
2021-07-11,2523.0
2021-07-18,4124.0
2021-07-25,6550.0
2021-08-01,10818.0
2021-08-08,13680.0
2021-08-15,16644.0
2021-08-22,21416.0
2021-08-29,23557.0
2021-09-05,24107.0
2021-09-12,24995.0
2021-09-19,22440.0
2021-09-26,19546.0
2021-10-03,17858.0
2021-10-10,13606.0
2021-10-17,12207.0
2021-10-24,9675.0
2021-10-31,8749.0
2021-11-07,9210.0
2021-11-14,10960.0
2021-11-21,9789.0
2021-11-28,14332.0
2021-12-05,16342.0
2021-12-12,21837.0
2021-12-19,40547.0
2021-12-26,75285.0
2022-01-02,113981.0
2022-01-09,121048.0
2022-01-16,96572.0
2022-01-23,70500.0
2022-01-30,42289.0
2022-02-06,29012.0
2022-02-13,18851.0
2022-02-20,12966.0
2022-02-27,8563.0
2022-03-06,7115.0
2022-03-13,6466.0
2022-03-20,5260.0
2022-03-27,4770.0
2022-04-03,6658.0
2022-04-10,7206.0
2022-04-17,8278.0
2022-04-24,10866.0
2022-05-01,14538.0
2022-05-08,18445.0
2022-05-15,22500.0
2022-05-22,22177.0
2022-05-29,19947.0
2022-06-05,19623.0
2022-06-12,17348.0
2022-06-19,17733.0
2022-06-26,19574.0
2022-07-03,18908.0
2022-07-10,20782.0
2022-07-17,21367.0
2022-07-24,21349.0
2022-07-31,19975.0
2022-08-07,18519.0
2022-08-14,17298.0
2022-08-21,17614.0
2022-08-28,16868.0
2022-09-04,12398.0
2022-09-11,11253.0
2022-09-18,9770.0
2022-09-25,8211.0
2022-10-02,7132.0
2022-10-09,7224.0
2022-10-16,6910.0
2022-10-23,7811.0
2022-10-30,7182.0
2022-11-06,7189.0
2022-11-13,5421.0
2022-11-20,5791.0
2022-11-27,10103.0
2022-12-04,10571.0
2022-12-11,12495.0
2022-12-18,15158.0
2022-12-25,15626.0
2023-01-01,16471.0
2023-01-08,12429.0
2023-01-15,10254.0
2023-01-22,9981.0
2023-01-29,8762.0
2023-02-05,7769.0
2023-02-12,6444.0
2023-02-19,5210.0
2023-02-26,4941.0
2023-03-05,3111.0
2023-03-12,2697.0
2023-03-19,2812.0
2023-03-26,2509.0
2023-04-02,765.0
