sample_collect_date,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-25,2023-05-08,2023-05-15,2023-05-22,2023-05-30,2023-06-05,2023-06-12,2023-06-20,2023-06-26,2023-07-05,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-14,2023-08-21,2023-08-28,2023-09-05
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,,,,,,,,,,,11.821198197341289,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,11.717343487273853,11.759680347171148,,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,11.661421720314465,11.67438447945622,11.675934586554357,,,,,,,,,,,,
2023-05-22,,,,,,,,,,,11.605499953355075,11.589088611741293,11.591631303519813,11.603242963310473,,,,,,,,,,,
2023-05-30,,,,,,,,,,,11.541589362544347,11.49160762006709,11.49528469433748,11.499818130640543,11.499443456793031,,,,,,,,,,
2023-06-05,,,,,,,,,,,,11.418496876311435,11.423024737450728,11.422249506138096,11.426832074860378,11.381497834620916,,,,,,,,,
2023-06-12,,,,,,,,,,,,,11.338721454416186,11.331752777551909,11.342118795938951,11.323999135900019,11.295629310989051,,,,,,,,
2023-06-20,,,,,,,,,,,,,,11.228327944881979,11.245303620028746,11.25828633736185,11.260256705672033,11.228455144721922,,,,,,,
2023-06-26,,,,,,,,,,,,,,,11.172692238096094,11.209001738458223,11.233727251684268,11.206881144320786,11.215141490212156,,,,,,
2023-07-05,,,,,,,,,,,,,,,,11.135074840102783,11.193933070702622,11.17452014371908,11.174048210354274,11.17809634730015,,,,,
2023-07-10,,,,,,,,,,,,,,,,,11.171825192379485,11.156541810051468,11.151218610433228,11.160676981061696,11.137819214417322,,,,
2023-07-17,,,,,,,,,,,,,,,,,,11.131372142916808,11.119257170543762,11.136289868327864,11.145671395684937,11.040690537999387,,,
2023-07-24,,,,,,,,,,,,,,,,,,,11.087295730654297,11.11190275559403,11.153523576952551,11.106569337244398,11.071218038482725,,
2023-07-31,,,,,,,,,,,,,,,,,,,,11.087515642860197,11.161375758220167,11.17244813648941,11.148120384174748,11.169050372847845,
2023-08-08,,,,,,,,,,,,,,,,,,,,,11.170349679668869,11.247738192769422,11.236008779251346,11.231423049946844,11.258323223134914
2023-08-14,,,,,,,,,,,,,,,,,,,,,,11.304205734979432,11.301925075558795,11.278202557771094,11.30166873909915
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,11.378827421250818,11.332778650232717,11.352238507724092
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,11.38735474269434,11.402808276349033
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,11.460602297634681
